Data sets,alg55,alg104a,alg69a,alg55,alg89a,alg76a,alg120a,alg17a,alg124a,alg93a,alg97a,alg118a,alg83a,alg20a,alg107,alg7,alg114a,alg117a,alg113a,alg115a
Fold_1,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9567099567099567,0.9567099567099567,0.948051948051948,0.9523809523809523,0.948051948051948,0.9567099567099567,0.948051948051948,0.9567099567099567,0.9523809523809523,0.9567099567099567,0.9567099567099567,0.9523809523809523,0.9523809523809523,0.9523809523809523
Fold_2,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.974025974025974,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697
Fold_3,0.974025974025974,0.974025974025974,0.9696969696969697,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.9696969696969697,0.9783549783549783,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
Fold_4,0.9393939393939394,0.9393939393939394,0.9523809523809523,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9523809523809523,0.935064935064935,0.9393939393939394,0.9393939393939394,0.935064935064935,0.9393939393939394,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935
Fold_5,0.974025974025974,0.974025974025974,0.9783549783549783,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.9783549783549783,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
Fold_6,0.9653679653679653,0.9653679653679653,0.9567099567099567,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.9567099567099567,0.9696969696969697,0.9653679653679653,0.9653679653679653,0.961038961038961,0.9653679653679653,0.961038961038961,0.9653679653679653,0.9653679653679653,0.961038961038961,0.9653679653679653,0.961038961038961,0.9653679653679653
Fold_7,0.9653679653679653,0.9653679653679653,0.961038961038961,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.961038961038961,0.961038961038961,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.961038961038961,0.9653679653679653,0.961038961038961,0.961038961038961,0.961038961038961,0.961038961038961,0.961038961038961,0.961038961038961,0.961038961038961
Fold_8,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948,0.9437229437229437,0.948051948051948,0.948051948051948,0.9437229437229437,0.9437229437229437,0.9437229437229437,0.948051948051948,0.9523809523809523,0.9437229437229437,0.9523809523809523,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948,0.9523809523809523,0.948051948051948
Fold_9,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9523809523809523,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567
Fold_10,0.9653679653679653,0.9696969696969697,0.9696969696969697,0.9653679653679653,0.9696969696969697,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.974025974025974,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.9696969696969697,0.961038961038961,0.9653679653679653,0.961038961038961,0.9653679653679653,0.9653679653679653,0.9653679653679653,0.9653679653679653
