Data sets,alg55,alg96a,alg125a,alg110a,alg57a,alg68a,alg124a,alg87a,alg99a,alg34a,alg86a,alg69a,alg93a,alg97a,alg116a,alg83a,alg104a,alg76a,alg89a,alg45a
Fold_1,0.8484848484848485,0.8888888888888888,0.8787878787878788,0.8888888888888888,0.898989898989899,0.898989898989899,0.8888888888888888,0.898989898989899,0.8686868686868687,0.8383838383838383,0.8383838383838383,0.8484848484848485,0.8484848484848485,0.8585858585858586,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8383838383838383
Fold_2,0.8686868686868687,0.9393939393939394,0.9393939393939394,0.9191919191919192,0.9393939393939394,0.9393939393939394,0.9292929292929293,0.9090909090909091,0.8888888888888888,0.8787878787878788,0.898989898989899,0.8585858585858586,0.8787878787878788,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8787878787878788,0.8787878787878788,0.8888888888888888,0.8787878787878788
Fold_3,0.9191919191919192,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9595959595959596,0.9494949494949495,0.9393939393939394,0.9292929292929293,0.9191919191919192,0.9191919191919192,0.9191919191919192,0.9393939393939394,0.9292929292929293,0.9292929292929293,0.9191919191919192,0.9292929292929293,0.9292929292929293,0.9191919191919192,0.9191919191919192,0.9090909090909091
Fold_4,0.8282828282828283,0.9191919191919192,0.9292929292929293,0.9191919191919192,0.9090909090909091,0.9090909090909091,0.9191919191919192,0.9090909090909091,0.8888888888888888,0.9191919191919192,0.9090909090909091,0.8888888888888888,0.8585858585858586,0.8686868686868687,0.8686868686868687,0.8484848484848485,0.8585858585858586,0.8484848484848485,0.8686868686868687,0.9090909090909091
Fold_5,0.8686868686868687,0.9292929292929293,0.9292929292929293,0.9191919191919192,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.8888888888888888,0.898989898989899,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.8787878787878788,0.8686868686868687,0.8888888888888888,0.8787878787878788,0.8787878787878788,0.8686868686868687,0.8585858585858586
Fold_6,0.8282828282828283,0.8383838383838383,0.8484848484848485,0.8383838383838383,0.8383838383838383,0.8383838383838383,0.8585858585858586,0.8383838383838383,0.8282828282828283,0.8282828282828283,0.8383838383838383,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8282828282828283,0.8181818181818182,0.8282828282828283,0.8181818181818182,0.8282828282828283
Fold_7,0.8787878787878788,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9292929292929293,0.9090909090909091,0.9393939393939394,0.9292929292929293,0.8787878787878788,0.8888888888888888,0.8787878787878788,0.8888888888888888,0.8787878787878788,0.8787878787878788,0.8888888888888888,0.8787878787878788,0.8787878787878788,0.8888888888888888,0.8787878787878788,0.8686868686868687
Fold_8,0.8888888888888888,0.9292929292929293,0.9393939393939394,0.9191919191919192,0.9090909090909091,0.898989898989899,0.898989898989899,0.898989898989899,0.9191919191919192,0.9191919191919192,0.9191919191919192,0.9292929292929293,0.9090909090909091,0.898989898989899,0.9191919191919192,0.9090909090909091,0.898989898989899,0.8888888888888888,0.898989898989899,0.9090909090909091
Fold_9,0.7878787878787878,0.8484848484848485,0.8181818181818182,0.8484848484848485,0.8383838383838383,0.8484848484848485,0.8181818181818182,0.8282828282828283,0.8080808080808081,0.797979797979798,0.7878787878787878,0.797979797979798,0.797979797979798,0.797979797979798,0.7878787878787878,0.7777777777777778,0.7878787878787878,0.797979797979798,0.7777777777777778,0.797979797979798
Fold_10,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9191919191919192,0.9191919191919192,0.898989898989899,0.9191919191919192,0.9292929292929293,0.898989898989899,0.8787878787878788,0.9090909090909091,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.898989898989899
