Data sets,alg55,alg42,alg8,alg7,alg74a,alg100a,alg66a,alg90a,alg67a,alg55,alg80a,alg73,alg107,alg89a,alg76a,alg95a,alg91a,alg93a,alg44a,alg159a
Fold_1,0.5436241610738255,0.6040268456375839,0.5771812080536913,0.5637583892617449,0.5838926174496645,0.5637583892617449,0.5570469798657718,0.5838926174496645,0.5838926174496645,0.5436241610738255,0.5369127516778524,0.5570469798657718,0.5234899328859061,0.5436241610738255,0.5369127516778524,0.5637583892617449,0.5234899328859061,0.5503355704697986,0.5436241610738255,0.5033557046979866
Fold_2,0.5033557046979866,0.5637583892617449,0.5637583892617449,0.5704697986577181,0.4899328859060403,0.5503355704697986,0.5704697986577181,0.5503355704697986,0.5369127516778524,0.5033557046979866,0.5570469798657718,0.5302013422818792,0.5100671140939598,0.4832214765100671,0.5167785234899329,0.5167785234899329,0.5167785234899329,0.5033557046979866,0.5637583892617449,0.5033557046979866
Fold_3,0.5100671140939598,0.5302013422818792,0.4899328859060403,0.5033557046979866,0.5369127516778524,0.5100671140939598,0.5167785234899329,0.5100671140939598,0.4899328859060403,0.5100671140939598,0.5033557046979866,0.5033557046979866,0.4966442953020134,0.4697986577181208,0.5100671140939598,0.4765100671140939,0.5234899328859061,0.4966442953020134,0.4832214765100671,0.5167785234899329
Fold_4,0.5570469798657718,0.5234899328859061,0.5100671140939598,0.5033557046979866,0.5167785234899329,0.5234899328859061,0.5167785234899329,0.5234899328859061,0.5167785234899329,0.5570469798657718,0.5302013422818792,0.5167785234899329,0.5033557046979866,0.5570469798657718,0.5436241610738255,0.5100671140939598,0.5167785234899329,0.5503355704697986,0.4832214765100671,0.5100671140939598
Fold_5,0.5472972972972973,0.581081081081081,0.5743243243243243,0.5608108108108109,0.581081081081081,0.5608108108108109,0.5540540540540541,0.5540540540540541,0.5608108108108109,0.5472972972972973,0.5540540540540541,0.5337837837837838,0.4932432432432433,0.527027027027027,0.5135135135135135,0.5135135135135135,0.5067567567567568,0.5337837837837838,0.5337837837837838,0.5202702702702703
Fold_6,0.5067567567567568,0.5202702702702703,0.5405405405405406,0.527027027027027,0.5,0.4932432432432433,0.4864864864864865,0.5067567567567568,0.4864864864864865,0.5067567567567568,0.3986486486486486,0.4797297297297297,0.5067567567567568,0.4932432432432433,0.4797297297297297,0.472972972972973,0.4527027027027027,0.4932432432432433,0.5,0.4527027027027027
Fold_7,0.5405405405405406,0.5743243243243243,0.527027027027027,0.5337837837837838,0.5743243243243243,0.5675675675675675,0.581081081081081,0.5540540540540541,0.5675675675675675,0.5405405405405406,0.5675675675675675,0.581081081081081,0.5472972972972973,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5540540540540541,0.5472972972972973,0.472972972972973,0.581081081081081
Fold_8,0.5202702702702703,0.5202702702702703,0.527027027027027,0.5405405405405406,0.5067567567567568,0.5135135135135135,0.5067567567567568,0.5202702702702703,0.527027027027027,0.5202702702702703,0.5067567567567568,0.5202702702702703,0.5135135135135135,0.5405405405405406,0.5067567567567568,0.5067567567567568,0.5135135135135135,0.5,0.5202702702702703,0.5135135135135135
Fold_9,0.4932432432432433,0.5202702702702703,0.5540540540540541,0.5337837837837838,0.5,0.4932432432432433,0.5067567567567568,0.4864864864864865,0.4932432432432433,0.4932432432432433,0.5067567567567568,0.4932432432432433,0.5337837837837838,0.4932432432432433,0.4864864864864865,0.5067567567567568,0.4932432432432433,0.4797297297297297,0.4864864864864865,0.4864864864864865
Fold_10,0.5540540540540541,0.6216216216216216,0.6148648648648649,0.6148648648648649,0.6148648648648649,0.6148648648648649,0.5878378378378378,0.581081081081081,0.581081081081081,0.5540540540540541,0.6013513513513513,0.527027027027027,0.5878378378378378,0.5675675675675675,0.5608108108108109,0.5743243243243243,0.581081081081081,0.527027027027027,0.5878378378378378,0.581081081081081
