Data sets,alg55,alg6,alg160a,alg155a,alg158a,alg159a,alg157a,alg156a,alg145a,alg147a,alg146a,alg148a,alg143a,alg142a,alg41,alg42,alg80a,alg90a,alg74a,alg8
Fold_1,0.9991379310344828,0.9998275862068966,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9994827586206897,0.9994827586206897,0.9996551724137931,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9993103448275862,0.9993103448275862,0.9993103448275862,0.9993103448275862
Fold_2,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966,0.9998275862068966
Fold_3,0.9987931034482759,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9987931034482759,0.9987931034482759,0.9987931034482759,0.9987931034482759,0.9987931034482759,0.9987931034482759,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9987931034482759
Fold_4,0.9993103448275862,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9996551724137931,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9994827586206897,0.9993103448275862
Fold_5,0.9989655172413793,0.9991379310344828,0.9993103448275862,0.9993103448275862,0.9993103448275862,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9989655172413793,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9991379310344828
Fold_6,0.9989655172413793,0.9991379310344828,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9991379310344828,0.9989655172413793,0.9991379310344828,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793
Fold_7,0.9768965517241379,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9986206896551724
Fold_8,0.9981034482758621,0.998448275862069,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.998448275862069,0.9986206896551724,0.9982758620689656,0.998448275862069,0.998448275862069,0.9982758620689656,0.9982758620689656,0.9981034482758621,0.9981034482758621,0.9982758620689656,0.9982758620689656,0.9982758620689656,0.9977586206896552
Fold_9,0.9751724137931035,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724,0.9986206896551724
Fold_10,0.9986204518020348,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9987928953267805,0.9986204518020348,0.9986204518020348,0.9987928953267805
